"trip_id","start_time","end_time","bikeid","tripduration","from_station_id","from_station_name","to_station_id","to_station_name","usertype","gender","birthyear"
"13518749","2017-03-31 21:48:51","2017-03-31 21:59:23","602","632","90","Millennium Park","59","Wabash Ave & Roosevelt Rd","Subscriber","Female","1993"
"13518748","2017-03-31 21:47:11","2017-03-31 21:50:16","4875","185","337","Clark St & Chicago Ave","181","LaSalle St & Illinois St","Subscriber","Male","1991"
"13518747","2017-03-31 21:46:36","2017-03-31 22:03:47","3171","1031","142","McClurg Ct & Erie St","86","Eckhart Park","Subscriber","Female","1988"
"13518746","2017-03-31 21:46:15","2017-03-31 21:53:38","1852","443","158","Milwaukee Ave & Wabansia Ave","123","California Ave & Milwaukee Ave","Subscriber","Male","1990"
"13518745","2017-03-31 21:45:15","2017-03-31 22:25:24","3559","2409","501","Richmond St & Diversey Ave","212","Orleans St & Ohio St","Subscriber","Male","1979"
"13518744","2017-03-31 21:45:17","2017-03-31 21:51:19","2921","362","52","Michigan Ave & Lake St","7","Field Blvd & South Water St","Subscriber","Male","1990"
"13518743","2017-03-31 21:44:59","2017-03-31 22:25:18","5584","2419","501","Richmond St & Diversey Ave","212","Orleans St & Ohio St","Subscriber","Male","1983"
"13518742","2017-03-31 21:44:47","2017-03-31 21:50:14","4434","327","219","Damen Ave & Cortland St","505","Winchester Ave & Elston Ave","Subscriber","Male","1986"
"13518741","2017-03-31 21:44:45","2017-03-31 21:49:54","3181","309","219","Damen Ave & Cortland St","505","Winchester Ave & Elston Ave","Subscriber","Female","1986"
"13518740","2017-03-31 21:43:07","2017-03-31 21:50:42","1756","455","148","State St & 33rd St","237","MLK Jr Dr & 29th St","Subscriber","Male","1995"
"13518739","2017-03-31 21:43:07","2017-03-31 22:00:21","1552","1034","69","Damen Ave & Pierce Ave","290","Kedzie Ave & Palmer Ct","Subscriber","Male","1992"
"13518738","2017-03-31 21:42:41","2017-03-31 21:57:58","3230","917","199","Wabash Ave & Grand Ave","30","Ashland Ave & Augusta Blvd","Subscriber","Male","1991"
"13518737","2017-03-31 21:42:04","2017-03-31 21:46:19","5539","255","291","Wells St & Evergreen Ave","27","Larrabee St & North Ave","Subscriber","Male","1986"
"13518736","2017-03-31 21:40:27","2017-03-31 21:59:12","4173","1125","321","Wabash Ave & 8th St","99","Lake Shore Dr & Ohio St","Subscriber","Female","1993"
"13518735","2017-03-31 21:40:28","2017-03-31 21:42:48","488","140","114","Sheffield Ave & Waveland Ave","232","Pine Grove Ave & Waveland Ave","Subscriber","Male","1991"
"13518734","2017-03-31 21:40:00","2017-03-31 22:05:01","1506","1501","85","Michigan Ave & Oak St","303","Broadway & Cornelia Ave","Subscriber","Female","1988"
"13518733","2017-03-31 21:39:33","2017-03-31 21:49:13","5701","580","49","Dearborn St & Monroe St","74","Kingsbury St & Erie St","Subscriber","Male","1962"
"13518732","2017-03-31 21:39:14","2017-03-31 21:50:11","495","657","49","Dearborn St & Monroe St","24","Fairbanks Ct & Grand Ave","Subscriber","Male","1981"
